YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
98 01 08 07  15  3.6  5.1  2.51 12.50  8.25 999 1014.7  22.7  25.2 999.0 99.0
98 01 08 08  18  2.3  4.1  2.92 12.50  8.91 999 1015.1  23.1  25.2 999.0 99.0
98 01 08 09  76  4.2  5.3  3.00 12.50  8.91 999 1015.0  23.2  25.2 999.0 99.0
98 01 08 10  60  4.5  6.1  2.53 12.50  8.20 999 1014.5  23.1  25.2 999.0 99.0
98 01 08 11  61  3.9  5.1  2.78 12.50  8.84 999 1014.2  23.1  25.2 999.0 99.0
98 01 08 12  46  5.2  6.1  2.52 12.50  8.26 999 1013.8  23.4  25.2 999.0 99.0
98 01 08 13  63  4.6  6.6  2.53 12.50  7.91 999 1013.2  23.3  25.2 999.0 99.0
98 01 08 14  52  5.0  6.2  2.48 11.11  7.80 999 1012.9  23.0  25.2 999.0 99.0
98 01 08 15  82  5.2  6.4  2.42 11.11  8.08 999 1013.0  23.3  25.2 999.0 99.0
98 01 08 16  85  5.2  7.1  2.24 11.11  7.42 999 1013.4  23.8  25.2 999.0 99.0
98 01 08 17  65  4.0  5.3  2.32 11.11  7.88 999 1013.6  23.7  25.2 999.0 99.0
98 01 08 18 112  5.4  7.2  2.71 11.11  8.14 999 1014.2  23.3  25.2 999.0 99.0
98 01 08 19 107  3.9  5.5  2.33 11.11  7.59 999 1014.9  23.8  25.2 999.0 99.0
98 01 08 20 118  4.5  5.9  2.40 11.11  8.13 999 1015.4  23.9  25.2 999.0 99.0
98 01 08 21 134  3.4  4.5  2.49 11.11  8.32 999 1015.3  24.1  25.2 999.0 99.0
98 01 08 22 127  1.7  2.7  2.42 11.11  8.62 999 1014.7  24.2  25.3 999.0 99.0
98 01 08 23 149   .6  1.5  2.01 11.11  8.03 999 1013.6  24.7  25.4 999.0 99.0
98 01 09 00  10   .2  1.5  2.25 11.11  8.63 999 1012.5  24.7  25.6 999.0 99.0
98 01 09 01 280   .1   .9  2.11 11.11  8.50 999 1011.6  25.0  25.7 999.0 99.0
98 01 09 02 166   .5  1.2  2.15 11.11  8.63 999 1011.3  24.9  25.8 999.0 99.0
98 01 09 03 163   .1  1.0  2.32 10.00  8.76 999 1011.3  25.3  25.9 999.0 99.0
98 01 09 04 348   .7  1.5  2.07 10.00  8.60 999 1012.0  25.4  25.8 999.0 99.0
98 01 09 05 346  1.3  3.3  2.41 20.00  9.37 999 1012.5  24.0  25.6 999.0 99.0
98 01 09 06 306   .7  1.7  2.34 20.00  9.51 999 1013.0  23.8  25.4 999.0 99.0
98 01 09 07 347   .9  2.5  2.57 16.67 10.00 999 1013.7  23.4  25.3 999.0 99.0
98 01 09 08 335  1.5  2.6  2.75 16.67 10.45 999 1014.0  23.9  25.3 999.0 99.0
98 01 09 09  21  1.7  3.5  2.85 16.67 10.71 999 1013.8  23.8  25.3 999.0 99.0
98 01 09 10  37  2.0  3.2  2.86 16.67 10.67 999 1013.8  23.7  25.3 999.0 99.0
98 01 09 11  71  2.8  3.7  2.45 16.67  9.58 999 1013.3  23.7  25.2 999.0 99.0
98 01 09 12  84  3.0  3.8  2.28 14.29  9.68 999 1013.0  23.7  25.2 999.0 99.0
98 01 09 13  82  2.4  3.1  2.29 16.67  9.64 999 1012.5  23.6  25.2 999.0 99.0
98 01 09 14 105  2.1  2.8  2.39 16.67 10.01 999 1012.4  23.5  25.2 999.0 99.0
98 01 09 15 106  2.3  3.2  2.39 16.67  9.78 999 1012.3  23.6  25.2 999.0 99.0
98 01 09 16  98  2.4  3.5  2.04 16.67  9.37 999 1012.6  23.2  25.2 999.0 99.0
98 01 09 17  96  2.3  3.8  2.16 12.50  9.30 999 1012.7  23.7  25.2 999.0 99.0
98 01 09 18 115  4.2  5.5  2.36 14.29  9.91 999 1013.4  23.8  25.2 999.0 99.0
98 01 09 19 111  3.3  4.3  2.01 16.67  9.13 999 1014.1  24.4  25.2 999.0 99.0
98 01 09 20 152  2.7  3.6  1.89 16.67  9.10 999 1014.6  24.5  25.2 999.0 99.0
98 01 09 21 175  1.6  2.8  2.02 16.67  9.20 999 1014.4  24.5  25.2 999.0 99.0
