YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 10 23  48  7.4  8.3  3.10 14.29  7.55 999 1017.2  24.0  25.4 999.0 99.0
1999 01 11 00  47  7.5  9.3  3.38 14.29  7.87 999 1016.5  24.2  25.3 999.0 99.0
1999 01 11 01  41  6.9  8.2  2.99 14.29  7.52 999 1016.3  24.4  25.4 999.0 99.0
1999 01 11 02  41  7.2  8.7  2.81 12.50  7.29 999 1016.6  24.1  25.4 999.0 99.0
1999 01 11 03  38  7.2  8.7  3.08 14.29  7.78 999 1016.8  24.3  25.3 999.0 99.0
1999 01 11 04  39  7.8  8.9  3.01 14.29  7.77 999 1017.1  24.1  25.3 999.0 99.0
1999 01 11 05  41  7.9  9.2  3.38 14.29  8.21 999 1017.5  24.0  25.3 999.0 99.0
1999 01 11 06  39  8.4 10.3  3.24 14.29  7.92 999 1018.2  24.0  25.3 999.0 99.0
1999 01 11 07  37  8.3  9.5  3.02 14.29  7.62 999 1018.8  23.9  25.3 999.0 99.0
1999 01 11 08  47  7.9  9.3  2.97 14.29  7.48 999 1019.0  23.5  25.3 999.0 99.0
1999 01 11 09  46  8.3 10.5  2.85 14.29  7.42 999 1018.8  23.9  25.2 999.0 99.0
1999 01 11 10  47  7.3  8.8  2.97 14.29  7.42 999 1018.6  23.8  25.1 999.0 99.0
1999 01 11 11  50  6.6  8.0  2.91 14.29  7.56 999 1018.2  23.6  25.1 999.0 99.0
1999 01 11 12  52  6.7  8.1  2.61 12.50  6.78 999 1017.6  23.8  25.0 999.0 99.0
