#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 09 14 00  83  6.6  8.1  2.46  9.09  6.92 999 1017.5 999.0  25.4 999.0 99.0 99.00
2008 01 09 15 00 104  6.4  7.7  2.47  8.33  6.89 999 1017.6 999.0  25.4 999.0 99.0 99.00
2008 01 09 16 00 111  6.9  8.7  2.43  9.09  6.89 999 1018.1 999.0  25.4 999.0 99.0 99.00
2008 01 09 17 00 108  8.4  9.9  2.44 10.00  6.45 999 1018.5 999.0  25.4 999.0 99.0 99.00
2008 01 09 18 00 105  8.1  9.7  2.56  9.09  6.47 999 1019.0 999.0  25.4 999.0 99.0 99.00
2008 01 09 19 00 103  7.6  9.5  2.77 10.00  7.04 999 1019.7 999.0  25.4 999.0 99.0 99.00
2008 01 09 20 00 101  8.2 10.1  2.54  9.09  6.49 999 1020.2 999.0  25.4 999.0 99.0 99.00
2008 01 09 21 00  89  8.0  9.6  2.60 10.00  6.38 999 1020.3 999.0  25.4 999.0 99.0 99.00
2008 01 09 22 00  88  8.2  9.7  2.84  9.09  6.70 999 1019.9 999.0  25.4 999.0 99.0 99.00
2008 01 09 23 00  83  7.0  8.5  2.94 19.05  6.98 999 1019.3 999.0  25.4 999.0 99.0 99.00
2008 01 10 00 00  93  7.1  9.1  3.61 19.05  8.40 999 1018.1 999.0  25.4 999.0 99.0 99.00
2008 01 10 01 00  97  7.6  9.1  3.07 17.39  7.40 999 1017.1 999.0  25.4 999.0 99.0 99.00
2008 01 10 02 00  90  7.6  9.3  3.12 17.39  7.82 999 1016.8 999.0  25.4 999.0 99.0 99.00
2008 01 10 03 00  78  7.1  8.6  3.25 17.39  7.69 999 1017.1 999.0  25.4 999.0 99.0 99.00
2008 01 10 04 00  77  7.1  8.3  3.02 16.00  7.39 999 1017.4 999.0  25.4 999.0 99.0 99.00
2008 01 10 05 00  84  6.6  8.4  3.27 16.00  7.81 999 1017.9 999.0  25.3 999.0 99.0 99.00
